Date,Hour,Period,Temperature_°C,Humidity_%,CO₂_ppm,Soil_Moisture_%,Light_lux,Crop_ID
2025-01-01,0,Night,18.1,65.0,935.0,69.0,214.0,T001
2025-01-01,1,Night,17.9,65.5,995.4,60.5,47.0,T001
2025-01-01,2,Night,17.8,72.6,897.0,61.9,130.0,T001
2025-01-01,3,Night,17.5,67.1,833.1,74.0,180.0,T001
2025-01-01,4,Night,17.1,69.3,800.5,68.9,496.0,T001
2025-01-01,5,Night,19.7,71.7,929.4,61.1,468.0,T001
2025-01-01,6,Day,24.3,69.0,1068.4,60.2,15410.0,T001
2025-01-01,7,Day,23.3,61.4,1000.9,61.6,11802.0,T001
2025-01-01,8,Day,25.7,65.7,1022.8,62.5,13020.0,T001
2025-01-01,9,Day,22.8,66.1,1175.0,78.1,19324.0,T001
2025-01-01,10,Day,25.9,66.3,1008.2,68.1,17033.0,T001
2025-01-01,11,Day,24.5,60.8,1175.0,72.8,11518.0,T001
2025-01-01,12,Day,22.4,65.3,1005.9,77.9,19637.0,T001
2025-01-01,13,Day,22.7,67.8,1008.1,66.2,14306.0,T001
2025-01-01,14,Day,24.5,62.9,1154.3,71.2,19373.0,T001
2025-01-01,15,Day,24.7,61.7,1180.5,76.8,13890.0,T001
2025-01-01,16,Day,24.9,62.7,1045.5,76.1,15724.0,T001
2025-01-01,17,Day,22.7,69.9,1018.6,77.5,14208.0,T001
2025-01-01,18,Night,19.9,73.4,903.5,67.8,188.0,T001
2025-01-01,19,Night,18.5,70.4,877.1,78.8,44.0,T001
2025-01-01,20,Night,17.2,73.1,891.8,69.1,311.0,T001
2025-01-01,21,Night,17.3,67.9,987.8,80.0,135.0,T001
2025-01-01,22,Night,20.0,72.8,901.9,70.5,338.0,T001
2025-01-01,23,Night,16.0,70.8,930.3,63.5,33.0,T001
2025-01-02,0,Night,16.2,68.8,878.2,79.4,270.0,T001
2025-01-02,1,Night,19.3,73.4,935.6,63.3,426.0,T001
2025-01-02,2,Night,18.5,73.6,836.1,68.9,22.0,T001
2025-01-02,3,Night,18.3,74.2,901.2,79.9,455.0,T001
2025-01-02,4,Night,19.1,74.1,859.6,60.3,32.0,T001
2025-01-02,5,Night,16.0,69.1,916.1,65.1,424.0,T001
2025-01-02,6,Day,25.3,66.8,1017.4,62.1,15046.0,T001
2025-01-02,7,Day,24.8,65.0,1087.5,60.9,15057.0,T001
2025-01-02,8,Day,23.7,66.9,1168.1,78.5,18793.0,T001
2025-01-02,9,Day,22.1,65.8,1062.4,68.1,11373.0,T001
2025-01-02,10,Day,22.9,68.2,1078.7,64.1,16619.0,T001
2025-01-02,11,Day,25.2,68.0,1199.4,78.7,15585.0,T001
2025-01-02,12,Day,22.3,61.6,1089.7,65.4,15060.0,T001
2025-01-02,13,Day,24.4,60.2,1045.7,70.8,16287.0,T001
2025-01-02,14,Day,22.4,60.9,1147.3,68.5,15021.0,T001
2025-01-02,15,Day,23.4,61.3,1097.8,67.1,19055.0,T001
2025-01-02,16,Day,23.2,62.0,1047.9,63.6,11306.0,T001
2025-01-02,17,Day,24.1,62.4,1027.1,67.6,19221.0,T001
2025-01-02,18,Night,16.9,72.9,911.9,61.5,421.0,T001
2025-01-02,19,Night,18.9,67.7,830.2,60.6,39.0,T001
2025-01-02,20,Night,19.9,66.2,949.2,78.0,173.0,T001
2025-01-02,21,Night,19.7,65.1,922.6,64.7,424.0,T001
2025-01-02,22,Night,19.2,74.3,933.2,73.4,417.0,T001
2025-01-02,23,Night,19.1,70.4,923.6,78.1,321.0,T001
2025-01-03,0,Night,16.4,74.4,846.3,73.9,419.0,T001
2025-01-03,1,Night,19.6,67.7,914.6,70.9,375.0,T001
2025-01-03,2,Night,16.9,65.6,949.7,74.3,350.0,T001
2025-01-03,3,Night,16.7,74.2,835.0,78.1,476.0,T001
2025-01-03,4,Night,16.5,66.3,910.6,63.9,67.0,T001
2025-01-03,5,Night,16.5,74.7,893.5,68.0,210.0,T001
2025-01-03,6,Day,23.9,64.6,1066.5,71.7,17224.0,T001
2025-01-03,7,Day,22.6,62.4,1062.0,76.3,17804.0,T001
